product,issue,table,category,code,desc_c,desc_e
HKMDS,202012,,product,HKMDS,香港統計月刊,Hong Kong Monthly Digest of Statistics
HKMDS,202012,,issue,202012,期號：2020年12月,Issue : December 2020
HKMDS,202012,T0201,table,T0201,表2.1：勞動人口、失業及就業不足統計,"Table 2.1 : Labour force, unemployment and underemployment"
HKMDS,202012,T0201,stat,M020101,勞動人口 [千人],Labour force [thousands]
HKMDS,202012,T0201,stat,M020102,勞動人口參與率 [%],Labour force participation rate [%]
HKMDS,202012,T0201,stat,M020103,失業人數 [千人],Unemployed [thousands]
HKMDS,202012,T0201,stat,M020104,失業率 (註釋 1) (經季節性調整) [%],Unemployment rate (note 1) (seasonally adjusted) [%]
HKMDS,202012,T0201,stat,M020105,就業不足人數 [千人],Underemployed [thousands]
HKMDS,202012,T0201,stat,M020106,就業不足率 [%],Underemployment rate [%]
HKMDS,202012,T0201,class1,sex,性別,Sex
HKMDS,202012,T0201,class1_code,sex_01,男性,Male
HKMDS,202012,T0201,class1_code,sex_02,女性,Female
HKMDS,202012,T0201,class1_code,sex_tt,總計,Total
HKMDS,202012,T0201,class1_code,sex_oa,合計,Overall
HKMDS,202012,T0201,note_figure,(#),臨時數字,Provisional figures
HKMDS,202012,T0201,other_info,note_1,(註釋 1) 經季節性調整的失業率是指計算失業率時，已根據 「X-12自迴歸 ─ 求和 ─ 移動平均」(X-12 ARIMA)方法就其季節性變異作出調整。季節性調整不適用於全年平均失業率。,"(note 1) Unemployment rate (seasonally adjusted) refers to the unemployment rate adjusted for seasonal variations using the ""X-12 ARIMA"" method.  Seasonal adjustment is not applicable to annual average unemployment rates."
HKMDS,202012,T0201,other_info,source,政府統計處住戶統計分析組,"Household Statistics Analysis Section, Census and Statistics Department"
HKMDS,202012,T0202,table,T0202,表2.2：按以前從事行業劃分的曾工作失業人數 (註釋 1),Table 2.2 : Unemployed persons with a previous job (note 1) by previous industry
HKMDS,202012,T0202,stat,M020201,曾工作失業人數 [千人],Unemployed persons with a previous job [thousands]
HKMDS,202012,T0202,stat,M020202,曾工作失業率 [%],Unemployment rate for persons with a previous job [%]
HKMDS,202012,T0202,class1,prevind,以前從事行業,Previous industry
HKMDS,202012,T0202,class1_code,prevind_01,製造,Manufacturing
HKMDS,202012,T0202,class1_code,prevind_02,建造,Construction
HKMDS,202012,T0202,class1_code,prevind_03,進出口貿易及批發,Import/export trade and wholesale
HKMDS,202012,T0202,class1_code,prevind_04,零售、住宿 (註釋 2) 及膳食服務 (註釋 3),"Retail, accommodation (note 2) and food services (note 3)"
HKMDS,202012,T0202,class1_code,prevind_05,運輸、倉庫、郵政及速遞服務、資訊及通訊,"Transportation, storage, postal and courier services, information and communications"
HKMDS,202012,T0202,class1_code,prevind_06,金融、保險、地產、專業及商用服務,"Financing, insurance, real estate, professional and business services"
HKMDS,202012,T0202,class1_code,prevind_07,公共行政、社會及個人服務,"Public administration, social and personal services"
HKMDS,202012,T0202,class1_code,prevind_08,其他,Others
HKMDS,202012,T0202,note_figure,(#),臨時數字,Provisional figures
HKMDS,202012,T0202,figure,‡,由於抽樣誤差大，統計數字在統計表內不予公布。,Statistics are not released due to large sampling error.
HKMDS,202012,T0202,other_info,note_1,(註釋 1) 不包括首次求職人士及重新加入勞動人口的失業人士，因為沒有關於他們以前從事行業的資料。,(note 1) First-time job-seekers and re-entrants into the labour force who were unemployed were not included as information on previous industry of these persons is not available.
HKMDS,202012,T0202,other_info,note_2,"(註釋 2) 住宿服務包括酒店、賓館、旅舍及其他提供短期住宿服務的機構單位。
","(note 2) Accommodation services cover hotels, guesthouses, boarding houses and other establishments providing short term accommodation."
HKMDS,202012,T0202,other_info,note_3,"(註釋 3) 零售、住宿及膳食服務業合計通常被稱為「與消費及旅遊相關行業」。
","(note 3) The retail, accommodation and food services industries as a whole is generally referred to as the consumption- and tourism-related segment."
HKMDS,202012,T0202,other_info,source,政府統計處住戶統計分析組,"Household Statistics Analysis Section, Census and Statistics Department"
HKMDS,202012,T0203,table,T0203,表2.3：按以前從事職業劃分的曾工作失業人數 (註釋 1),Table 2.3 : Unemployed persons with a previous job (note 1) by previous occupation
HKMDS,202012,T0203,stat,M020301,失業人數 [千人],Unemployed [thousands]
HKMDS,202012,T0203,stat,M020302,失業率 [%],Unemployment rate [%]
HKMDS,202012,T0203,class1,prevocc,以前從事職業,Previous occupation
HKMDS,202012,T0203,class1_code,prevocc_01,經理及行政級人員,Managers and administrators
HKMDS,202012,T0203,class1_code,prevocc_02,專業人員,Professionals
HKMDS,202012,T0203,class1_code,prevocc_03,輔助專業人員  ,Associate professionals    
HKMDS,202012,T0203,class1_code,prevocc_04,文書支援人員,Clerical support workers
HKMDS,202012,T0203,class1_code,prevocc_05,服務工作及銷售人員,Service and sales workers
HKMDS,202012,T0203,class1_code,prevocc_06,工藝及有關人員,Craft and related workers
HKMDS,202012,T0203,class1_code,prevocc_07,機台及機器操作員及裝配員,Plant and machine operators and assemblers
HKMDS,202012,T0203,class1_code,prevocc_08,非技術工人,Elementary occupations
HKMDS,202012,T0203,class1_code,prevocc_09,其他,Others
HKMDS,202012,T0203,note_figure,(#),臨時數字,Provisional figures
HKMDS,202012,T0203,figure,‡,由於抽樣誤差大，統計數字在統計表內不予公布。,Statistics are not released due to large sampling error.
HKMDS,202012,T0203,other_info,note_1,(註釋 1) 不包括首次求職人士及重新加入勞動人口的失業人士，因為沒有關於他們以前從事職業的資料。,(note 1) First-time job-seekers and re-entrants into the labour force who were unemployed were not included as information on previous occupation of these persons is not available.
HKMDS,202012,T0203,other_info,source,政府統計處住戶統計分析組,"Household Statistics Analysis Section, Census and Statistics Department"
HKMDS,202012,T0204,table,T0204,表2.4：公務員人數 (註釋 1) 及有關職位空缺數目,Table 2.4 : Number of civil servants (note 1) and civil service vacancies
HKMDS,202012,T0204,stat,M020401,就業人數 (期末數字),No. of persons engaged (as at end of period)
HKMDS,202012,T0204,stat,M020402,職位空缺數目 (期末數字),No. of vacancies (as at end of period)
HKMDS,202012,T0204,class1,sex,性別,Sex
HKMDS,202012,T0204,class1_code,sex_01,男性,Male
HKMDS,202012,T0204,class1_code,sex_02,女性,Female
HKMDS,202012,T0204,class1_code,sex_tt,總計,Total
HKMDS,202012,T0204,other_info,note_1,(註釋 1) 有關公務員的定義，請參閱《香港統計月刊》第11頁的「概念及方法」。,"(note 1) For the definition of civil servants, please refer to the ""Concepts and methods"" on page 11 of the Hong Kong Monthly Digest of Statistics for details."
HKMDS,202012,T0204,other_info,source,政府統計處就業統計及機構記錄組,"Employment Statistics and Central Register of Establishments Section, Census and Statistics Department"
HKMDS,202012,T0205,table,T0205,表2.5：按行業主類劃分的機構單位數目、就業人數及職位空缺數目（公務員除外）,"Table 2.5 : Number of establishments, persons engaged and vacancies (other than those in the civil service) by industry section"
HKMDS,202012,T0205,stat,M020501,機構單位數目 (期末數字),No. of establishments (as at end of period)
HKMDS,202012,T0205,stat,M020502,就業人數 (期末數字),No. of persons engaged (as at end of period)
HKMDS,202012,T0205,stat,M020503,職位空缺數目 (期末數字),No. of vacancies (as at end of period)
HKMDS,202012,T0205,class1,industry,行業主類,Industry section
HKMDS,202012,T0205,class2,sex,性別,Sex
HKMDS,202012,T0205,class1_code,indsect_01,行業主類 B： 採礦及採石,Industry section B :  Mining and quarrying
HKMDS,202012,T0205,class1_code,indsect_02,行業主類 C： 製造,Industry section C :  Manufacturing
HKMDS,202012,T0205,class1_code,indsect_03,行業主類 D 及 E： 電力和燃氣供應及廢棄物管理,"Industry sections D & E :  Electricity and gas supply, and waste management"
