product,issue,table,stat,year,period,class1,class1_code,class2,class2_code,class3,class3_code,class4,class4_code,figure,note_figure
HKMDS,202002,T0101,M010101,2015,Mid,sex,sex_01,,,,,,,3365600,
HKMDS,202002,T0101,M010101,2015,End,sex,sex_01,,,,,,,3368600,
HKMDS,202002,T0101,M010101,2016,Mid,sex,sex_01,,,,,,,3375400,
HKMDS,202002,T0101,M010101,2016,End,sex,sex_01,,,,,,,3389800,
HKMDS,202002,T0101,M010101,2017,Mid,sex,sex_01,,,,,,,3392500,
HKMDS,202002,T0101,M010101,2017,End,sex,sex_01,,,,,,,3398200,
HKMDS,202002,T0101,M010101,2018,Mid,sex,sex_01,,,,,,,3410300,
HKMDS,202002,T0101,M010101,2018,End,sex,sex_01,,,,,,,3421100,
HKMDS,202002,T0101,M010101,2019,Mid,sex,sex_01,,,,,,,3423000,
HKMDS,202002,T0101,M010101,2019,End,sex,sex_01,,,,,,,3415200,(#)
HKMDS,202002,T0101,M010101,2015,Mid,sex,sex_02,,,,,,,3925700,
HKMDS,202002,T0101,M010101,2015,End,sex,sex_02,,,,,,,3941100,
HKMDS,202002,T0101,M010101,2016,Mid,sex,sex_02,,,,,,,3961200,
HKMDS,202002,T0101,M010101,2016,End,sex,sex_02,,,,,,,3987300,
HKMDS,202002,T0101,M010101,2017,Mid,sex,sex_02,,,,,,,3999200,
HKMDS,202002,T0101,M010101,2017,End,sex,sex_02,,,,,,,4014900,
HKMDS,202002,T0101,M010101,2018,Mid,sex,sex_02,,,,,,,4040700,
HKMDS,202002,T0101,M010101,2018,End,sex,sex_02,,,,,,,4065300,
HKMDS,202002,T0101,M010101,2019,Mid,sex,sex_02,,,,,,,4084400,
HKMDS,202002,T0101,M010101,2019,End,sex,sex_02,,,,,,,4085500,(#)
HKMDS,202002,T0101,M010101,2015,Mid,sex,sex_tt,,,,,,,7291300,
HKMDS,202002,T0101,M010101,2015,End,sex,sex_tt,,,,,,,7309700,
HKMDS,202002,T0101,M010101,2016,Mid,sex,sex_tt,,,,,,,7336600,
HKMDS,202002,T0101,M010101,2016,End,sex,sex_tt,,,,,,,7377100,
HKMDS,202002,T0101,M010101,2017,Mid,sex,sex_tt,,,,,,,7391700,
HKMDS,202002,T0101,M010101,2017,End,sex,sex_tt,,,,,,,7413100,
HKMDS,202002,T0101,M010101,2018,Mid,sex,sex_tt,,,,,,,7451000,
HKMDS,202002,T0101,M010101,2018,End,sex,sex_tt,,,,,,,7486400,
HKMDS,202002,T0101,M010101,2019,Mid,sex,sex_tt,,,,,,,7507400,
HKMDS,202002,T0101,M010101,2019,End,sex,sex_tt,,,,,,,7500700,(#)
HKMDS,202002,T0102,M010201,2015,,,,,,,,,,0.9,
HKMDS,202002,T0102,M010202,2015,,,,,,,,,,8.2,
HKMDS,202002,T0102,M010203,2015,,,,,,,,,,6.3,
HKMDS,202002,T0102,M010204,2015,,,,,,,,,,1.9,
HKMDS,202002,T0102,M010205,2015,,,,,,,,,,1.4,
