product,issue,table,stat,year,period,class1,class1_code,class2,class2_code,class3,class3_code,class4,class4_code,figure,note_figure
HKMDS,201912,T0301,M030101,2016,,,,,,,,,,4008384,
HKMDS,201912,T0301,M030101,2017,,,,,,,,,,4357004,
HKMDS,201912,T0301,M030101,2018,,,,,,,,,,4721399,
HKMDS,201912,T0301,M030101,2018,08,,,,,,,,,428452,
HKMDS,201912,T0301,M030101,2018,09,,,,,,,,,422676,
HKMDS,201912,T0301,M030101,2018,10,,,,,,,,,428142,
HKMDS,201912,T0301,M030101,2018,11,,,,,,,,,409284,
HKMDS,201912,T0301,M030101,2018,12,,,,,,,,,391187,
HKMDS,201912,T0301,M030101,2019,01,,,,,,,,,359000,
HKMDS,201912,T0301,M030101,2019,02,,,,,,,,,277508,
HKMDS,201912,T0301,M030101,2019,03,,,,,,,,,402883,
HKMDS,201912,T0301,M030101,2019,04,,,,,,,,,356609,
HKMDS,201912,T0301,M030101,2019,05,,,,,,,,,377774,
HKMDS,201912,T0301,M030101,2019,06,,,,,,,,,364794,
HKMDS,201912,T0301,M030101,2019,07,,,,,,,,,370790,
HKMDS,201912,T0301,M030101,2019,08,,,,,,,,,380777,
HKMDS,201912,T0301,M030101,2019,09,,,,,,,,,379325,
HKMDS,201912,T0301,M030101,2019,10,,,,,,,,,379118,
HKMDS,201912,T0301,M030102,2016,,,,,,,,,,3588247,
HKMDS,201912,T0301,M030102,2017,,,,,,,,,,3875898,
HKMDS,201912,T0301,M030102,2018,,,,,,,,,,4158106,
HKMDS,201912,T0301,M030102,2018,08,,,,,,,,,376303,
HKMDS,201912,T0301,M030102,2018,09,,,,,,,,,374961,
HKMDS,201912,T0301,M030102,2018,10,,,,,,,,,383651,
HKMDS,201912,T0301,M030102,2018,11,,,,,,,,,364320,
HKMDS,201912,T0301,M030102,2018,12,,,,,,,,,339938,
HKMDS,201912,T0301,M030102,2019,01,,,,,,,,,348701,
HKMDS,201912,T0301,M030102,2019,02,,,,,,,,,228674,
HKMDS,201912,T0301,M030102,2019,03,,,,,,,,,343641,
HKMDS,201912,T0301,M030102,2019,04,,,,,,,,,321517,
HKMDS,201912,T0301,M030102,2019,05,,,,,,,,,343065,
HKMDS,201912,T0301,M030102,2019,06,,,,,,,,,309607,
HKMDS,201912,T0301,M030102,2019,07,,,,,,,,,338618,
HKMDS,201912,T0301,M030102,2019,08,,,,,,,,,352727,
HKMDS,201912,T0301,M030102,2019,09,,,,,,,,,347685,
HKMDS,201912,T0301,M030102,2019,10,,,,,,,,,348528,
HKMDS,201912,T0301,M030103,2016,,,,,,,,,,7596631,
HKMDS,201912,T0301,M030103,2017,,,,,,,,,,8232902,
HKMDS,201912,T0301,M030103,2018,,,,,,,,,,8879505,
HKMDS,201912,T0301,M030103,2018,08,,,,,,,,,804755,
HKMDS,201912,T0301,M030103,2018,09,,,,,,,,,797637,
HKMDS,201912,T0301,M030103,2018,10,,,,,,,,,811793,
HKMDS,201912,T0301,M030103,2018,11,,,,,,,,,773604,
HKMDS,201912,T0301,M030103,2018,12,,,,,,,,,731125,
HKMDS,201912,T0301,M030103,2019,01,,,,,,,,,707701,
HKMDS,201912,T0301,M030103,2019,02,,,,,,,,,506182,
HKMDS,201912,T0301,M030103,2019,03,,,,,,,,,746524,
HKMDS,201912,T0301,M030103,2019,04,,,,,,,,,678126,
HKMDS,201912,T0301,M030103,2019,05,,,,,,,,,720839,
HKMDS,201912,T0301,M030103,2019,06,,,,,,,,,674401,
HKMDS,201912,T0301,M030103,2019,07,,,,,,,,,709408,
HKMDS,201912,T0301,M030103,2019,08,,,,,,,,,733504,
HKMDS,201912,T0301,M030103,2019,09,,,,,,,,,727010,
HKMDS,201912,T0301,M030103,2019,10,,,,,,,,,727645,
HKMDS,201912,T0301,M030104,2016,,,,,,,,,,-420137,
HKMDS,201912,T0301,M030104,2017,,,,,,,,,,-481106,
HKMDS,201912,T0301,M030104,2018,,,,,,,,,,-563292,
HKMDS,201912,T0301,M030104,2018,08,,,,,,,,,-52149,
HKMDS,201912,T0301,M030104,2018,09,,,,,,,,,-47715,
HKMDS,201912,T0301,M030104,2018,10,,,,,,,,,-44490,
HKMDS,201912,T0301,M030104,2018,11,,,,,,,,,-44964,
HKMDS,201912,T0301,M030104,2018,12,,,,,,,,,-51249,
HKMDS,201912,T0301,M030104,2019,01,,,,,,,,,-10299,
HKMDS,201912,T0301,M030104,2019,02,,,,,,,,,-48834,
HKMDS,201912,T0301,M030104,2019,03,,,,,,,,,-59241,
HKMDS,201912,T0301,M030104,2019,04,,,,,,,,,-35091,
HKMDS,201912,T0301,M030104,2019,05,,,,,,,,,-34709,
HKMDS,201912,T0301,M030104,2019,06,,,,,,,,,-55187,
HKMDS,201912,T0301,M030104,2019,07,,,,,,,,,-32172,
HKMDS,201912,T0301,M030104,2019,08,,,,,,,,,-28049,
HKMDS,201912,T0301,M030104,2019,09,,,,,,,,,-31639,
HKMDS,201912,T0301,M030104,2019,10,,,,,,,,,-30590,
HKMDS,201912,T0301,M030105,2018,08,,,,,,,,,3072072,
HKMDS,201912,T0301,M030105,2018,09,,,,,,,,,3494539,
HKMDS,201912,T0301,M030105,2018,10,,,,,,,,,3922134,
HKMDS,201912,T0301,M030105,2018,11,,,,,,,,,4330476,
