product,issue,table,category,code,desc_c,desc_e
HKMDS,202012,,product,HKMDS,香港統計月刊,Hong Kong Monthly Digest of Statistics
HKMDS,202012,,issue,202012,期號：2020年12月,Issue : December 2020
HKMDS,202012,T0901,table,T0901,表9.1：外匯儲備資產,Table 9.1 : Foreign currency reserve assets
HKMDS,202012,T0901,stat,M090101,外匯儲備資產 (期末數字) [百萬美元],Foreign currency reserve assets (as at end of period) [US$ million]
HKMDS,202012,T0901,stat,M090102,人均外匯儲備資產 (期末數字) [美元],Foreign currency reserve assets per capita (as at end of period) [US$]
HKMDS,202012,T0901,stat,M090103,按留用進口貨物計算的外匯儲備資產 (註釋 1) (期末數字) [月數],Foreign currency reserve assets in terms of months of retained imports of goods (note 1) (as at end of period) [no. of months]
HKMDS,202012,T0901,stat,M090104,外匯儲備資產對流通貨幣的比率 (期末數字),Ratio of foreign currency reserve assets to currency in circulation (as at end of period)
HKMDS,202012,T0901,other_info,note_1,(註釋 1) 數字是根據過去12個月的留用進口貨物平均數計算。,(note 1) Figures are calculated based on past 12 months average of retained imports of goods.
HKMDS,202012,T0901,note_figure,(#),臨時數字,Provisional figures
HKMDS,202012,T0901,other_info,source,香港金融管理局,Hong Kong Monetary Authority
HKMDS,202012,T0902,table,T0902,表9.2：政府一般收入帳目的收入和開支,Table 9.2 : Government revenue and expenditure under the General Revenue Account
HKMDS,202012,T0902,stat,M090201,政府一般收入帳目的收入 [百萬港元],Government revenue under the General Revenue Account [HK$ million]
HKMDS,202012,T0902,stat,M090202,政府一般收入帳目的開支 [百萬港元],Government expenditure under the General Revenue Account [HK$ million]
HKMDS,202012,T0902,class1,revenue,收入,Revenue
HKMDS,202012,T0902,class1_code,revenue_01,直接稅,Direct taxes
HKMDS,202012,T0902,class1_code,revenue_02,間接稅,Indirect taxes
HKMDS,202012,T0902,class1_code,revenue_03,其他收入,Other revenue
HKMDS,202012,T0902,class1_code,revenue_04,從各基金轉撥的款項,Transfers from Funds
HKMDS,202012,T0902,class1_code,revenue_tt,總收入,Total revenue
HKMDS,202012,T0902,class1,expend,開支,Expenditure
HKMDS,202012,T0902,class1_code,expend_01,期內實際開支,Actual expenditure during the period
HKMDS,202012,T0902,class1_code,expend_02,轉撥各基金的款項 (註釋 1),Transfers to Funds (note 1)
HKMDS,202012,T0902,class1_code,expend_tt,一般收入帳目總開支,Total expenditure on General Revenue Account
HKMDS,202012,T0902,other_info,note_G1,財政年度由4月1日至3月31日。,Financial year runs from 1 April to 31 March.
HKMDS,202012,T0902,other_info,note_1,(註釋 1) 包括轉撥資本投資基金、公務員退休金儲備基金、賑災基金、創新及科技基金和貸款基金。,"(note 1) These include transfers to Capital Investment Fund, Civil Service Pension Reserve Fund, Disaster Relief Fund, Innovation and Technology Fund and Loan Fund."
HKMDS,202012,T0902,other_info,source,政府總部財經事務及庫務局,"Financial Services and the Treasury Bureau, Government Secretariat"
HKMDS,202012,T0903,table,T0903,表9.3：流通貨幣及貨幣供應,Table 9.3 : Currency in circulation and money supply
HKMDS,202012,T0903,stat,M090301,法定紙幣及硬幣的流通量 (期末數字) [百萬港元],Legal tender notes and coins in circulation (as at end of period) [HK$ million]
HKMDS,202012,T0903,stat,M090302,由認可機構持有的法定紙幣及硬幣 (期末數字) [百萬港元],Authorized institutions' holdings of legal tender notes and coins (as at end of period) [HK$ million]
HKMDS,202012,T0903,stat,M090303,由公眾持有的法定紙幣及硬幣 (期末數字) [百萬港元],Legal tender notes and coins in hands of public (as at end of period) [HK$ million]
HKMDS,202012,T0903,stat,M090304,貨幣供應量M1 (期末數字) [百萬港元],M1 (as at end of period) [HK$ million]
HKMDS,202012,T0903,stat,M090305,貨幣供應量M2 (期末數字) [百萬港元],M2 (as at end of period) [HK$ million]
HKMDS,202012,T0903,stat,M090306,貨幣供應量M3 (期末數字) [百萬港元],M3 (as at end of period) [HK$ million]
HKMDS,202012,T0903,class1,issuer,發行方,Issuer
HKMDS,202012,T0903,class1_code,issuer_01,由商業銀行發行,Commercial bank issues
HKMDS,202012,T0903,class1_code,issuer_02,由政府發行,Government issues
HKMDS,202012,T0903,class1_code,issuer_tt,總計,Total
HKMDS,202012,T0903,class1,curr,貨幣,Currency
HKMDS,202012,T0903,class1_code,curr_01,港元,HK Dollar
HKMDS,202012,T0903,class1_code,curr_02,外幣,Foreign currency
HKMDS,202012,T0903,class1_code,curr_tt,總計,Total
HKMDS,202012,T0903,class2,sadj,有否經季節性調整,Whether seasonally adjusted
HKMDS,202012,T0903,class2_code,sadj_01,經季節性調整,Seasonally adjusted
HKMDS,202012,T0903,other_info,note_G1,數字指所有認可機構。,Figures refer to all authorized institutions.
HKMDS,202012,T0903,other_info,note_G2,貨幣供應量M2和M3的數字並未就外幣掉期存款作出調整，調整後的數字刊於表9.5。,The figures of M2 and M3 are unadjusted for foreign currency swap deposits.  Adjusted figures are published in Table 9.5.
HKMDS,202012,T0903,other_info,source,香港金融管理局,Hong Kong Monetary Authority
HKMDS,202012,T0904,table,T0904,表9.4：按類別劃分的客戶存款 (註釋 1),Table 9.4 : Customer deposits by type (note 1)
HKMDS,202012,T0904,stat,M090401,客戶存款 (註釋 1) (期末數字) [百萬港元],Customer deposits (note 1)  (as at end of period) [HK$ million]
HKMDS,202012,T0904,class1,inst,機構類別,Type of institutions
HKMDS,202012,T0904,class1_code,inst_01,持牌銀行,Licensed banks
HKMDS,202012,T0904,class1_code,inst_02,有限制牌照銀行,Restricted licence banks
HKMDS,202012,T0904,class1_code,inst_03,接受存款公司,Deposit-taking companies
HKMDS,202012,T0904,class1_code,inst_tt,所有認可機構,All authorized institutions
HKMDS,202012,T0904,class2,dep,存款類別,Type of deposit
HKMDS,202012,T0904,class2_code,dep_01,活期存款,Demand
HKMDS,202012,T0904,class2_code,dep_02,儲蓄存款,Savings
HKMDS,202012,T0904,class2_code,dep_03,定期存款,Time
HKMDS,202012,T0904,class2_code,dep_tt,各類存款總計,Total
HKMDS,202012,T0904,class3,curr,貨幣,Currency
HKMDS,202012,T0904,class3_code,curr_01,港元,HK Dollar
HKMDS,202012,T0904,class3_code,curr_02,外幣,Foreign currency
HKMDS,202012,T0904,class3_code,curr_tt,總計,Total
HKMDS,202012,T0904,class4,sadj,有否經季節性調整,Whether seasonally adjusted
HKMDS,202012,T0904,class4_code,sadj_01,經季節性調整,Seasonally adjusted
HKMDS,202012,T0904,other_info,note_1,(註釋 1) 所列數字並未就外幣掉期存款作出調整，調整後的數字刊於表9.5。,(note 1) Unadjusted for foreign currency swap deposits.  Adjusted figures are published in Table 9.5.
HKMDS,202012,T0904,other_info,source,香港金融管理局,Hong Kong Monetary Authority
HKMDS,202012,T0905,table,T0905,表9.5：就外幣掉期存款 (註釋 1) 作出調整的貨幣供應及客戶存款,Table 9.5 : Money supply and customer deposits adjusted for foreign currency swap deposits (note 1)
HKMDS,202012,T0905,stat,M090501,外幣掉期存款 (期末數字) [百萬港元],Foreign currency swap deposits (as at end of period) [HK$ million]
HKMDS,202012,T0905,stat,M090502,貨幣供應量M2 (期末數字) [百萬港元],M2 (as at end of period) [HK$ million]
HKMDS,202012,T0905,stat,M090503,貨幣供應量M3 (期末數字) [百萬港元],M3 (as at end of period) [HK$ million]
HKMDS,202012,T0905,stat,M090504,所有認可機構客戶存款 (期末數字) [百萬港元],Customer deposits with all authorized institutions (as at end of period) [HK$ million]
HKMDS,202012,T0905,class1,swcurr,貨幣,Currency
HKMDS,202012,T0905,class1_code,swcurr_01,港元 (包括外幣掉期存款),HK Dollar (Adjusted to include foreign currency swap deposits)
