product,issue,table,stat,year,period,class1,class1_code,class2,class2_code,class3,class3_code,class4,class4_code,figure,note_figure
HKMDS,202009,T0401,M040101,2017,,gdpcomp,gdpcomp_01,,,,,,,1784148,
HKMDS,202009,T0401,M040101,2018,,gdpcomp,gdpcomp_01,,,,,,,1936122,(@)
HKMDS,202009,T0401,M040101,2019,,gdpcomp,gdpcomp_01,,,,,,,1967322,(@)
HKMDS,202009,T0401,M040101,2019,4 -   6,gdpcomp,gdpcomp_01,,,,,,,507709,(@)
HKMDS,202009,T0401,M040101,2019,7 -   9,gdpcomp,gdpcomp_01,,,,,,,470701,(@)
HKMDS,202009,T0401,M040101,2019,10 - 12,gdpcomp,gdpcomp_01,,,,,,,502263,(@)
HKMDS,202009,T0401,M040101,2020,1 -   3,gdpcomp,gdpcomp_01,,,,,,,447890,(@)
HKMDS,202009,T0401,M040101,2020,4 -   6,gdpcomp,gdpcomp_01,,,,,,,440128,(@)
HKMDS,202009,T0401,M040101,2017,,gdpcomp,gdpcomp_02,,,,,,,261447,
HKMDS,202009,T0401,M040101,2018,,gdpcomp,gdpcomp_02,,,,,,,281438,(@)
HKMDS,202009,T0401,M040101,2019,,gdpcomp,gdpcomp_02,,,,,,,308924,(@)
HKMDS,202009,T0401,M040101,2019,4 -   6,gdpcomp,gdpcomp_02,,,,,,,73466,(@)
HKMDS,202009,T0401,M040101,2019,7 -   9,gdpcomp,gdpcomp_02,,,,,,,78026,(@)
HKMDS,202009,T0401,M040101,2019,10 - 12,gdpcomp,gdpcomp_02,,,,,,,79659,(@)
HKMDS,202009,T0401,M040101,2020,1 -   3,gdpcomp,gdpcomp_02,,,,,,,89334,(@)
HKMDS,202009,T0401,M040101,2020,4 -   6,gdpcomp,gdpcomp_02,,,,,,,82546,(@)
HKMDS,202009,T0401,M040101,2017,,gdpcomp,gdpcomp_03,,,,,,,575977,
HKMDS,202009,T0401,M040101,2018,,gdpcomp,gdpcomp_03,,,,,,,612458,(@)
HKMDS,202009,T0401,M040101,2019,,gdpcomp,gdpcomp_03,,,,,,,547167,(@)
HKMDS,202009,T0401,M040101,2019,4 -   6,gdpcomp,gdpcomp_03,,,,,,,137911,(@)
HKMDS,202009,T0401,M040101,2019,7 -   9,gdpcomp,gdpcomp_03,,,,,,,136475,(@)
HKMDS,202009,T0401,M040101,2019,10 - 12,gdpcomp,gdpcomp_03,,,,,,,134402,(@)
HKMDS,202009,T0401,M040101,2020,1 -   3,gdpcomp,gdpcomp_03,,,,,,,120441,(@)
HKMDS,202009,T0401,M040101,2020,4 -   6,gdpcomp,gdpcomp_03,,,,,,,106958,(@)
HKMDS,202009,T0401,M040101,2017,,gdpcomp,gdpcomp_04,,,,,,,10973,
HKMDS,202009,T0401,M040101,2018,,gdpcomp,gdpcomp_04,,,,,,,11204,(@)
HKMDS,202009,T0401,M040101,2019,,gdpcomp,gdpcomp_04,,,,,,,-6434,(@)
HKMDS,202009,T0401,M040101,2019,4 -   6,gdpcomp,gdpcomp_04,,,,,,,-2359,(@)
HKMDS,202009,T0401,M040101,2019,7 -   9,gdpcomp,gdpcomp_04,,,,,,,-1695,(@)
HKMDS,202009,T0401,M040101,2019,10 - 12,gdpcomp,gdpcomp_04,,,,,,,3777,(@)
HKMDS,202009,T0401,M040101,2020,1 -   3,gdpcomp,gdpcomp_04,,,,,,,21795,(@)
HKMDS,202009,T0401,M040101,2020,4 -   6,gdpcomp,gdpcomp_04,,,,,,,3563,(@)
HKMDS,202009,T0401,M040101,2017,,gdpcomp,gdpcomp_05,,,,,,,4212774,
HKMDS,202009,T0401,M040101,2018,,gdpcomp,gdpcomp_05,,,,,,,4453350,(@)
HKMDS,202009,T0401,M040101,2019,,gdpcomp,gdpcomp_05,,,,,,,4292589,(@)
HKMDS,202009,T0401,M040101,2019,4 -   6,gdpcomp,gdpcomp_05,,,,,,,1023952,(@)
HKMDS,202009,T0401,M040101,2019,7 -   9,gdpcomp,gdpcomp_05,,,,,,,1114279,(@)
HKMDS,202009,T0401,M040101,2019,10 - 12,gdpcomp,gdpcomp_05,,,,,,,1155796,(@)
HKMDS,202009,T0401,M040101,2020,1 -   3,gdpcomp,gdpcomp_05,,,,,,,901776,(@)
HKMDS,202009,T0401,M040101,2020,4 -   6,gdpcomp,gdpcomp_05,,,,,,,998181,(@)
HKMDS,202009,T0401,M040101,2017,,gdpcomp,gdpcomp_06,,,,,,,811295,
HKMDS,202009,T0401,M040101,2018,,gdpcomp,gdpcomp_06,,,,,,,886883,(@)
HKMDS,202009,T0401,M040101,2019,,gdpcomp,gdpcomp_06,,,,,,,792916,(@)
HKMDS,202009,T0401,M040101,2019,4 -   6,gdpcomp,gdpcomp_06,,,,,,,202120,(@)
HKMDS,202009,T0401,M040101,2019,7 -   9,gdpcomp,gdpcomp_06,,,,,,,189582,(@)
HKMDS,202009,T0401,M040101,2019,10 - 12,gdpcomp,gdpcomp_06,,,,,,,171019,(@)
HKMDS,202009,T0401,M040101,2020,1 -   3,gdpcomp,gdpcomp_06,,,,,,,143891,(@)
HKMDS,202009,T0401,M040101,2020,4 -   6,gdpcomp,gdpcomp_06,,,,,,,106073,(@)
HKMDS,202009,T0401,M040101,2017,,gdpcomp,gdpcomp_07,,,,,,,4391306,
HKMDS,202009,T0401,M040101,2018,,gdpcomp,gdpcomp_07,,,,,,,4706347,(@)
HKMDS,202009,T0401,M040101,2019,,gdpcomp,gdpcomp_07,,,,,,,4418627,(@)
HKMDS,202009,T0401,M040101,2019,4 -   6,gdpcomp,gdpcomp_07,,,,,,,1095886,(@)
HKMDS,202009,T0401,M040101,2019,7 -   9,gdpcomp,gdpcomp_07,,,,,,,1114117,(@)
HKMDS,202009,T0401,M040101,2019,10 - 12,gdpcomp,gdpcomp_07,,,,,,,1143857,(@)
HKMDS,202009,T0401,M040101,2020,1 -   3,gdpcomp,gdpcomp_07,,,,,,,950767,(@)
HKMDS,202009,T0401,M040101,2020,4 -   6,gdpcomp,gdpcomp_07,,,,,,,1015037,(@)
HKMDS,202009,T0401,M040101,2017,,gdpcomp,gdpcomp_08,,,,,,,605924,
HKMDS,202009,T0401,M040101,2018,,gdpcomp,gdpcomp_08,,,,,,,639947,(@)
HKMDS,202009,T0401,M040101,2019,,gdpcomp,gdpcomp_08,,,,,,,618178,(@)
HKMDS,202009,T0401,M040101,2019,4 -   6,gdpcomp,gdpcomp_08,,,,,,,152633,(@)
HKMDS,202009,T0401,M040101,2019,7 -   9,gdpcomp,gdpcomp_08,,,,,,,153925,(@)
HKMDS,202009,T0401,M040101,2019,10 - 12,gdpcomp,gdpcomp_08,,,,,,,158852,(@)
HKMDS,202009,T0401,M040101,2020,1 -   3,gdpcomp,gdpcomp_08,,,,,,,112770,(@)
HKMDS,202009,T0401,M040101,2020,4 -   6,gdpcomp,gdpcomp_08,,,,,,,84561,(@)
HKMDS,202009,T0401,M040102,2017,,,,,,,,,,2659384,
HKMDS,202009,T0401,M040102,2018,,,,,,,,,,2835161,(@)
HKMDS,202009,T0401,M040102,2019,,,,,,,,,,2865679,(@)
HKMDS,202009,T0401,M040102,2019,4 -   6,,,,,,,,,694280,(@)
HKMDS,202009,T0401,M040102,2019,7 -   9,,,,,,,,,719326,(@)
HKMDS,202009,T0401,M040102,2019,10 - 12,,,,,,,,,744207,(@)
HKMDS,202009,T0401,M040102,2020,1 -   3,,,,,,,,,661590,(@)
HKMDS,202009,T0401,M040102,2020,4 -   6,,,,,,,,,637851,(@)
HKMDS,202009,T0401,M040103,2017,,,,,,,,,,359780,
HKMDS,202009,T0401,M040103,2018,,,,,,,,,,380507,(@)
HKMDS,202009,T0401,M040103,2019,,,,,,,,,,381714,(@)
HKMDS,202009,T0402,M040201,2017,,gdpcomp,gdpcomp_01,,,,,,,1838839,
HKMDS,202009,T0402,M040201,2018,,gdpcomp,gdpcomp_01,,,,,,,1936122,(@)
HKMDS,202009,T0402,M040201,2019,,gdpcomp,gdpcomp_01,,,,,,,1915037,(@)
HKMDS,202009,T0402,M040201,2019,4 -   6,gdpcomp,gdpcomp_01,,,,,,,493057,(@)
HKMDS,202009,T0402,M040201,2019,7 -   9,gdpcomp,gdpcomp_01,,,,,,,454709,(@)
HKMDS,202009,T0402,M040201,2019,10 - 12,gdpcomp,gdpcomp_01,,,,,,,487831,(@)
HKMDS,202009,T0402,M040201,2020,1 -   3,gdpcomp,gdpcomp_01,,,,,,,428786,(@)
HKMDS,202009,T0402,M040201,2020,4 -   6,gdpcomp,gdpcomp_01,,,,,,,423107,(@)
HKMDS,202009,T0402,M040201,2017,,gdpcomp,gdpcomp_02,,,,,,,269981,
HKMDS,202009,T0402,M040201,2018,,gdpcomp,gdpcomp_02,,,,,,,281438,(@)
HKMDS,202009,T0402,M040201,2019,,gdpcomp,gdpcomp_02,,,,,,,295685,(@)
HKMDS,202009,T0402,M040201,2019,4 -   6,gdpcomp,gdpcomp_02,,,,,,,70058,(@)
HKMDS,202009,T0402,M040201,2019,7 -   9,gdpcomp,gdpcomp_02,,,,,,,74092,(@)
HKMDS,202009,T0402,M040201,2019,10 - 12,gdpcomp,gdpcomp_02,,,,,,,75319,(@)
HKMDS,202009,T0402,M040201,2020,1 -   3,gdpcomp,gdpcomp_02,,,,,,,82908,(@)
HKMDS,202009,T0402,M040201,2020,4 -   6,gdpcomp,gdpcomp_02,,,,,,,76948,(@)
HKMDS,202009,T0402,M040201,2017,,gdpcomp,gdpcomp_03,,,,,,,602266,
