product,issue,table,category,code,desc_c,desc_e
HKMDS,202005,T0606,class1_code,rest_05,雜類飲食場所,Miscellaneous eating and drinking places
HKMDS,202005,T0606,class2,perd,頻次,Frequency
HKMDS,202005,T0606,class2_code,perd_01,按年及按季數字,Annual and quarterly figures
HKMDS,202005,T0606,class2_code,perd_02,按月數字,Monthly figures
HKMDS,202005,T0606,note_figure,(#),臨時數字,Provisional figures
HKMDS,202005,T0606,other_info,note_G1,某一年的食肆收益價值／數量指數是該年的季度食肆收益價值／數量指數的平均數。食肆收益數量指數是採用環比連接法編製，把價值指數內的物價變動因素扣除後所得。,The annual value/volume index of restaurant receipts in a certain year is the average of the quarterly value/volume indices of restaurant receipts in that year.  The volume index of restaurant receipts is derived from the value index by adjusting for price changes and is compiled based on the chain-linking approach.
HKMDS,202005,T0606,other_info,source,"政府統計處經銷服務統計組
","Distribution Services Statistics Section, Census and Statistics Department"
HKMDS,202005,T0607,table,T0607,表6.7：業務收益指數,Table 6.7 : Business Receipts Indices
HKMDS,202005,T0607,stat,M060701,業務收益指數 (2015年按季平均指數=100),Business Receipts Indices (Quarterly average of 2015=100)
HKMDS,202005,T0607,class1,part,部分,Part
HKMDS,202005,T0607,class1_code,part_01,甲部：服務行業統計數字,Part A : Statistics for service industries
HKMDS,202005,T0607,class1_code,part_02,乙部：服務界別統計數字,Part B : Statistics for service domains
HKMDS,202005,T0607,class2,brind,行業,Industry
HKMDS,202005,T0607,class2_code,brind_01,進出口貿易,Import/export trade
HKMDS,202005,T0607,class2_code,brind_02,批發,Wholesale
HKMDS,202005,T0607,class2_code,brind_03,零售,Retail
HKMDS,202005,T0607,class2_code,brind_04,運輸,Transportation
HKMDS,202005,T0607,class2_code,brind_0401,運輸 - 陸路運輸,Transportation - Land transport
HKMDS,202005,T0607,class2_code,brind_0402,運輸 - 水上運輸,Transportation - Water transport
HKMDS,202005,T0607,class2_code,brind_0403,運輸 - 航空運輸,Transportation - Air transport
HKMDS,202005,T0607,class2_code,brind_05,貨倉及倉庫,Warehousing and storage
HKMDS,202005,T0607,class2_code,brind_06,速遞,Courier
HKMDS,202005,T0607,class2_code,brind_07,住宿服務 (註釋 1),Accommodation services (note 1) 
HKMDS,202005,T0607,class2_code,brind_08,膳食服務,Food services
HKMDS,202005,T0607,class2_code,brind_09,資訊及通訊,Information and communications
HKMDS,202005,T0607,class2_code,brind_0901,資訊及通訊 - 電訊,Information and communications - Telecommunications
HKMDS,202005,T0607,class2_code,brind_0902,資訊及通訊 - 電影,Information and communications - Film entertainment
HKMDS,202005,T0607,class2_code,brind_10,銀行,Banking
HKMDS,202005,T0607,class2_code,brind_11,金融 (銀行除外),Financing (except banking)
HKMDS,202005,T0607,class2_code,brind_1101,金融 (銀行除外) - 金融市場及資產管理,Financing (except banking) - Financial markets and asset management 
HKMDS,202005,T0607,class2_code,brind_110101,金融 (銀行除外) - 金融市場及資產管理 - 資產管理,Financing (except banking) - Financial markets and asset management - Asset management 
HKMDS,202005,T0607,class2_code,brind_12,保險,Insurance
HKMDS,202005,T0607,class2_code,brind_13,地產 (註釋 2),Real estate (note 2)
HKMDS,202005,T0607,class2_code,brind_14,專業、科學及技術服務,"Professional, scientific and technical services"
HKMDS,202005,T0607,class2_code,brind_15,行政及支援服務,Administrative and support services
HKMDS,202005,T0607,class2,domain,服務界別,Service domains
HKMDS,202005,T0607,class2_code,domain_01,旅遊、會議及展覽服務,"Tourism, convention and exhibition services"
HKMDS,202005,T0607,class2_code,domain_02,電腦及資訊科技服務,Computer and information technology services
HKMDS,202005,T0607,note_figure,(#),臨時數字,Provisional figures
HKMDS,202005,T0607,other_info,note_G2,由2019年第1季度開始，服務行業及服務界別的業務收益指數已重訂參照年，以2015年作為新的參照年，取代過去的2008年參照年。重訂參照年不會影響統計表內的按年變動百分率。,"Starting from Q1 2019, business receipts indices of service industries and service domains have been re-referenced, taking year 2015 as the new reference period in place of the previous reference year of 2008.  The re-referencing does not affect their year-on-year percentage changes contained in this statistical table."
HKMDS,202005,T0607,other_info,note_1,(註釋 1) 住宿服務業包括酒店、賓館、旅舍及其他提供短期住宿服務的機構單位。,"(note 1) Accommodation services sector covers hotels, guesthouses, boarding houses and other establishments providing short term accommodation."
HKMDS,202005,T0607,other_info,note_2,(註釋 2) 自2019年第1季的統計季度開始，地產行業的涵蓋範圍已有所增加，新的數列已作出後向估計至2012年第1季。以2008年作參照年的舊數列將繼續編製至2019年第4季及可供用戶索取。,(note 1) The coverage of the real estate industry has been enhanced since the reference quarter of Q1 2019 and the new series has been backcasted to Q1 2012.  The old series with 2008 as the reference year will continue to be compiled up till Q4 2019 and will be provided to users upon request.
HKMDS,202005,T0607,other_info,source,"政府統計處商業服務統計組
","Business Services Statistics Section, Census and Statistics Department"
HKMDS,202005,T0608,table,T0608,表6.8：本地公司及在本港以外成立為法團的公司：登記、清盤及解散數目,"Table 6.8 : Local companies and companies incorporated outside Hong Kong : number registered, wound-up and dissolved"
HKMDS,202005,T0608,stat,M060801,註冊成立的本地公司 (在期內的數目),Local companies incorporated (number during the period)
HKMDS,202005,T0608,stat,M060802,解散的本地公司總數 (在期內的數目),Total number of local companies dissolved (number during the period)
HKMDS,202005,T0608,stat,M060803,仍在公司登記冊上註冊的本地公司 (在期末的數目),Local companies remained registered in the Companies Register (number at end of the period)
HKMDS,202005,T0608,stat,M060804,本地公司的清盤 (在期內的數目) - 自動清盤 - 清盤開始 - 股東自動清盤,Liquidation of local companies (number during the period) - Voluntary winding-up - Commencement - Members' voluntary winding-up
HKMDS,202005,T0608,stat,M060805,本地公司的清盤 (在期內的數目) - 自動清盤 - 清盤開始 - 債權人自動清盤,Liquidation of local companies (number during the period) - Voluntary winding-up - Commencement - Creditors' voluntary winding-up
HKMDS,202005,T0608,stat,M060806,本地公司的清盤 (在期內的數目) - 自動清盤 - 公司解散 - 股東自動清盤,Liquidation of local companies  (number during the period) - Voluntary winding-up - Dissolution - Members' voluntary winding-up
