product,issue,table,stat,year,period,class1,class1_code,class2,class2_code,class3,class3_code,class4,class4_code,figure,note_figure
HKMDS,202010,T1101A,M110101,2017,,out,out_01,,,,,,,514825,
HKMDS,202010,T1101A,M110101,2018,,out,out_01,,,,,,,498630,
HKMDS,202010,T1101A,M110101,2019,,out,out_01,,,,,,,467543,(#)
HKMDS,202010,T1101A,M110101,2019,4 -   6,out,out_01,,,,,,,112375,(#)
HKMDS,202010,T1101A,M110101,2019,7 -   9,out,out_01,,,,,,,120399,(#)
HKMDS,202010,T1101A,M110101,2019,10 - 12,out,out_01,,,,,,,119146,(#)
HKMDS,202010,T1101A,M110101,2020,1 -   3,out,out_01,,,,,,,90535,(#)
HKMDS,202010,T1101A,M110101,2020,4 -   6,out,out_01,,,,,,,91832,(#)
HKMDS,202010,T1101A,M110101,2017,,out,out_02,,,,,,,5609577,
HKMDS,202010,T1101A,M110101,2018,,out,out_02,,,,,,,5573476,(*)
HKMDS,202010,T1101A,M110101,2019,,out,out_02,,,,,,,5310279,(#)
HKMDS,202010,T1101A,M110101,2019,4 -   6,out,out_02,,,,,,,1324232,(#)
HKMDS,202010,T1101A,M110101,2019,7 -   9,out,out_02,,,,,,,1342278,(#)
HKMDS,202010,T1101A,M110101,2019,10 - 12,out,out_02,,,,,,,1262423,(#)
HKMDS,202010,T1101A,M110101,2020,1 -   3,out,out_02,,,,,,,868413,(#)
HKMDS,202010,T1101A,M110101,2020,4 -   6,out,out_02,,,,,,,834191,(#)
HKMDS,202010,T1101B,M110102,2017,,,,,,,,,,1809770,
HKMDS,202010,T1101B,M110102,2018,,,,,,,,,,1827130,
HKMDS,202010,T1101B,M110102,2019,,,,,,,,,,1879483,(#)
HKMDS,202010,T1101B,M110102,2019,4 -   6,,,,,,,,,468799,
HKMDS,202010,T1101B,M110102,2019,7 -   9,,,,,,,,,475920,
HKMDS,202010,T1101B,M110102,2019,10 - 12,,,,,,,,,470849,(#)
HKMDS,202010,T1101B,M110102,2020,1 -   3,,,,,,,,,377211,(#)
HKMDS,202010,T1101B,M110102,2020,4 -   6,,,,,,,,,386337,(#)
HKMDS,202010,T1101B,M110103,2017,,,,,,,,,,88,
HKMDS,202010,T1101B,M110103,2018,,,,,,,,,,88.8,
HKMDS,202010,T1101B,M110103,2019,,,,,,,,,,89,(#)
HKMDS,202010,T1101B,M110103,2019,4 -   6,,,,,,,,,90,
HKMDS,202010,T1101B,M110103,2019,7 -   9,,,,,,,,,89.1,
HKMDS,202010,T1101B,M110103,2019,10 - 12,,,,,,,,,88,(#)
HKMDS,202010,T1101B,M110103,2020,1 -   3,,,,,,,,,76.8,(#)
HKMDS,202010,T1101B,M110103,2020,4 -   6,,,,,,,,,77.2,(#)
HKMDS,202010,T1101B,M110104,2017,,outatt,outatt_01,,,,,,,6091919,
HKMDS,202010,T1101B,M110104,2018,,outatt,outatt_01,,,,,,,6084019,
HKMDS,202010,T1101B,M110104,2019,,outatt,outatt_01,,,,,,,6024925,(#)
HKMDS,202010,T1101B,M110104,2019,4 -   6,outatt,outatt_01,,,,,,,1465278,
HKMDS,202010,T1101B,M110104,2019,7 -   9,outatt,outatt_01,,,,,,,1549958,
HKMDS,202010,T1101B,M110104,2019,10 - 12,outatt,outatt_01,,,,,,,1515873,(#)
HKMDS,202010,T1101B,M110104,2020,1 -   3,outatt,outatt_01,,,,,,,1284571,(#)
HKMDS,202010,T1101B,M110104,2020,4 -   6,outatt,outatt_01,,,,,,,1305612,(#)
HKMDS,202010,T1101B,M110104,2017,,outatt,outatt_02,,,,,,,7695213,
HKMDS,202010,T1101B,M110104,2018,,outatt,outatt_02,,,,,,,7869530,
HKMDS,202010,T1101B,M110104,2019,,outatt,outatt_02,,,,,,,8001742,(#)
HKMDS,202010,T1101B,M110104,2019,4 -   6,outatt,outatt_02,,,,,,,1952513,
HKMDS,202010,T1101B,M110104,2019,7 -   9,outatt,outatt_02,,,,,,,2085377,
HKMDS,202010,T1101B,M110104,2019,10 - 12,outatt,outatt_02,,,,,,,2000147,(#)
HKMDS,202010,T1101B,M110104,2020,1 -   3,outatt,outatt_02,,,,,,,1603683,(#)
HKMDS,202010,T1101B,M110104,2020,4 -   6,outatt,outatt_02,,,,,,,1740159,(#)
HKMDS,202010,T1101B,M110104,2017,,outatt,outatt_03,,,,,,,2748049,
HKMDS,202010,T1101B,M110104,2018,,outatt,outatt_03,,,,,,,2831537,
HKMDS,202010,T1101B,M110104,2019,,outatt,outatt_03,,,,,,,2925881,(#)
HKMDS,202010,T1101B,M110104,2019,4 -   6,outatt,outatt_03,,,,,,,710173,
HKMDS,202010,T1101B,M110104,2019,7 -   9,outatt,outatt_03,,,,,,,770552,
HKMDS,202010,T1101B,M110104,2019,10 - 12,outatt,outatt_03,,,,,,,730951,(#)
HKMDS,202010,T1101B,M110104,2020,1 -   3,outatt,outatt_03,,,,,,,442794,(#)
HKMDS,202010,T1101B,M110104,2020,4 -   6,outatt,outatt_03,,,,,,,549661,(#)
HKMDS,202010,T1101B,M110104,2017,,outatt,outatt_04,,,,,,,308277,
HKMDS,202010,T1101B,M110104,2018,,outatt,outatt_04,,,,,,,316948,
HKMDS,202010,T1101B,M110104,2019,,outatt,outatt_04,,,,,,,309749,(#)
HKMDS,202010,T1101B,M110104,2019,4 -   6,outatt,outatt_04,,,,,,,73839,
HKMDS,202010,T1101B,M110104,2019,7 -   9,outatt,outatt_04,,,,,,,78582,
HKMDS,202010,T1101B,M110104,2019,10 - 12,outatt,outatt_04,,,,,,,83207,(#)
HKMDS,202010,T1101B,M110104,2020,1 -   3,outatt,outatt_04,,,,,,,71986,(#)
HKMDS,202010,T1101B,M110104,2020,4 -   6,outatt,outatt_04,,,,,,,74839,(#)
HKMDS,202010,T1101B,M110105,2017,,,,,,,,,,2196531,
HKMDS,202010,T1101B,M110105,2018,,,,,,,,,,2145557,
HKMDS,202010,T1101B,M110105,2019,,,,,,,,,,2196867,(#)
HKMDS,202010,T1101B,M110105,2019,4 -   6,,,,,,,,,573110,
HKMDS,202010,T1101B,M110105,2019,7 -   9,,,,,,,,,541155,
HKMDS,202010,T1101B,M110105,2019,10 - 12,,,,,,,,,535148,(#)
HKMDS,202010,T1101B,M110105,2020,1 -   3,,,,,,,,,398626,(#)
HKMDS,202010,T1101B,M110105,2020,4 -   6,,,,,,,,,407276,(#)
HKMDS,202010,T1102,M110201,2017,,noti,noti_01,,,,,,,10,
HKMDS,202010,T1102,M110201,2017,,noti,noti_02,,,,,,,37,
HKMDS,202010,T1102,M110201,2017,,noti,noti_03,,,,,,,3,
HKMDS,202010,T1102,M110201,2017,,noti,noti_04,,,,,,,9347,
HKMDS,202010,T1102,M110201,2017,,noti,noti_05,,,,,,,1,
HKMDS,202010,T1102,M110201,2017,,noti,noti_06,,,,,,,0,
HKMDS,202010,T1102,M110201,2017,,noti,noti_07,,,,,,,1258,
HKMDS,202010,T1102,M110201,2017,,noti,noti_08,,,,,,,10,
HKMDS,202010,T1102,M110201,2017,,noti,noti_09,,,,,,,102,
HKMDS,202010,T1102,M110201,2017,,noti,noti_10,,,,,,,49,
HKMDS,202010,T1102,M110201,2017,,noti,noti_11,,,,,,,214,
HKMDS,202010,T1102,M110202,2017,,noti,noti_11,,,,,,,883,
HKMDS,202010,T1102,M110201,2017,,noti,noti_12,,,,,,,2,
HKMDS,202010,T1102,M110201,2017,,noti,noti_13,,,,,,,2,
HKMDS,202010,T1102,M110201,2017,,noti,noti_14,,,,,,,186,
HKMDS,202010,T1102,M110201,2017,,noti,noti_15,,,,,,,5,
HKMDS,202010,T1102,M110201,2017,,noti,noti_16,,,,,,,72,
HKMDS,202010,T1102,M110201,2017,,noti,noti_17,,,,,,,3,
