product,issue,table,stat,year,period,class1,class1_code,class2,class2_code,class3,class3_code,class4,class4_code,figure,note_figure
HKMDS,202001,T0101,M010101,2014,End,sex,sex_01,,,,,,,3352000,
HKMDS,202001,T0101,M010101,2015,Mid,sex,sex_01,,,,,,,3365600,
HKMDS,202001,T0101,M010101,2015,End,sex,sex_01,,,,,,,3368600,
HKMDS,202001,T0101,M010101,2016,Mid,sex,sex_01,,,,,,,3375400,
HKMDS,202001,T0101,M010101,2016,End,sex,sex_01,,,,,,,3389800,
HKMDS,202001,T0101,M010101,2017,Mid,sex,sex_01,,,,,,,3392500,
HKMDS,202001,T0101,M010101,2017,End,sex,sex_01,,,,,,,3398200,
HKMDS,202001,T0101,M010101,2018,Mid,sex,sex_01,,,,,,,3410300,
HKMDS,202001,T0101,M010101,2018,End,sex,sex_01,,,,,,,3421100,
HKMDS,202001,T0101,M010101,2019,Mid,sex,sex_01,,,,,,,3432700,(#)
HKMDS,202001,T0101,M010101,2014,End,sex,sex_02,,,,,,,3900900,
HKMDS,202001,T0101,M010101,2015,Mid,sex,sex_02,,,,,,,3925700,
HKMDS,202001,T0101,M010101,2015,End,sex,sex_02,,,,,,,3941100,
HKMDS,202001,T0101,M010101,2016,Mid,sex,sex_02,,,,,,,3961200,
HKMDS,202001,T0101,M010101,2016,End,sex,sex_02,,,,,,,3987300,
HKMDS,202001,T0101,M010101,2017,Mid,sex,sex_02,,,,,,,3999200,
HKMDS,202001,T0101,M010101,2017,End,sex,sex_02,,,,,,,4014900,
HKMDS,202001,T0101,M010101,2018,Mid,sex,sex_02,,,,,,,4040700,
HKMDS,202001,T0101,M010101,2018,End,sex,sex_02,,,,,,,4065300,
HKMDS,202001,T0101,M010101,2019,Mid,sex,sex_02,,,,,,,4091400,(#)
HKMDS,202001,T0101,M010101,2014,End,sex,sex_tt,,,,,,,7252900,
HKMDS,202001,T0101,M010101,2015,Mid,sex,sex_tt,,,,,,,7291300,
HKMDS,202001,T0101,M010101,2015,End,sex,sex_tt,,,,,,,7309700,
HKMDS,202001,T0101,M010101,2016,Mid,sex,sex_tt,,,,,,,7336600,
HKMDS,202001,T0101,M010101,2016,End,sex,sex_tt,,,,,,,7377100,
HKMDS,202001,T0101,M010101,2017,Mid,sex,sex_tt,,,,,,,7391700,
HKMDS,202001,T0101,M010101,2017,End,sex,sex_tt,,,,,,,7413100,
HKMDS,202001,T0101,M010101,2018,Mid,sex,sex_tt,,,,,,,7451000,
HKMDS,202001,T0101,M010101,2018,End,sex,sex_tt,,,,,,,7486400,
HKMDS,202001,T0101,M010101,2019,Mid,sex,sex_tt,,,,,,,7524100,(#)
HKMDS,202001,T0102,M010201,2014,,,,,,,,,,0.7,
HKMDS,202001,T0102,M010202,2014,,,,,,,,,,8.6,
HKMDS,202001,T0102,M010203,2014,,,,,,,,,,6.2,
HKMDS,202001,T0102,M010204,2014,,,,,,,,,,2.4,
HKMDS,202001,T0102,M010205,2014,,,,,,,,,,1.7,
HKMDS,202001,T0102,M010206,2014,,,,,,,,,,1235,
HKMDS,202001,T0102,M010207,2014,,sex,sex_01,,,,,,,81.2,
HKMDS,202001,T0102,M010207,2014,,sex,sex_02,,,,,,,86.9,
HKMDS,202001,T0102,M010201,2015,,,,,,,,,,0.9,
HKMDS,202001,T0102,M010202,2015,,,,,,,,,,8.2,
HKMDS,202001,T0102,M010203,2015,,,,,,,,,,6.3,
HKMDS,202001,T0102,M010204,2015,,,,,,,,,,1.9,
HKMDS,202001,T0102,M010205,2015,,,,,,,,,,1.4,
HKMDS,202001,T0102,M010206,2015,,,,,,,,,,1196,
HKMDS,202001,T0102,M010207,2015,,sex,sex_01,,,,,,,81.4,
HKMDS,202001,T0102,M010207,2015,,sex,sex_02,,,,,,,87.3,
HKMDS,202001,T0102,M010201,2016,,,,,,,,,,0.6,
HKMDS,202001,T0102,M010202,2016,,,,,,,,,,8.3,
HKMDS,202001,T0102,M010203,2016,,,,,,,,,,6.4,
HKMDS,202001,T0102,M010204,2016,,,,,,,,,,1.9,
HKMDS,202001,T0102,M010205,2016,,,,,,,,,,1.8,
HKMDS,202001,T0102,M010206,2016,,,,,,,,,,1205,
HKMDS,202001,T0102,M010207,2016,,sex,sex_01,,,,,,,81.3,
HKMDS,202001,T0102,M010207,2016,,sex,sex_02,,,,,,,87.3,
HKMDS,202001,T0102,M010201,2017,,,,,,,,,,0.8,
HKMDS,202001,T0102,M010202,2017,,,,,,,,,,7.7,
