product,issue,table,stat,year,period,class1,class1_code,class2,class2_code,class3,class3_code,class4,class4_code,figure,note_figure
HKMDS,202001,T0601,M060101,2016,,ipind,ipind_0101,,,,,,,103.9,
HKMDS,202001,T0601,M060101,2017,,ipind,ipind_0101,,,,,,,107,
HKMDS,202001,T0601,M060101,2018,,ipind,ipind_0101,,,,,,,110.3,
HKMDS,202001,T0601,M060101,2018,   7 -   9,ipind,ipind_0101,,,,,,,123.6,
HKMDS,202001,T0601,M060101,2018, 10 - 12,ipind,ipind_0101,,,,,,,111.1,
HKMDS,202001,T0601,M060101,2019,   1 -   3,ipind,ipind_0101,,,,,,,100.3,
HKMDS,202001,T0601,M060101,2019,   4 -   6,ipind,ipind_0101,,,,,,,110.1,
HKMDS,202001,T0601,M060101,2019,   7 -   9,ipind,ipind_0101,,,,,,,124.4,(#)
HKMDS,202001,T0601,M060101,2016,,ipind,ipind_0102,,,,,,,95.7,
HKMDS,202001,T0601,M060101,2017,,ipind,ipind_0102,,,,,,,91.5,
HKMDS,202001,T0601,M060101,2018,,ipind,ipind_0102,,,,,,,90.5,
HKMDS,202001,T0601,M060101,2018,   7 -   9,ipind,ipind_0102,,,,,,,100.5,
HKMDS,202001,T0601,M060101,2018, 10 - 12,ipind,ipind_0102,,,,,,,94.8,
HKMDS,202001,T0601,M060101,2019,   1 -   3,ipind,ipind_0102,,,,,,,71.9,
HKMDS,202001,T0601,M060101,2019,   4 -   6,ipind,ipind_0102,,,,,,,96,
HKMDS,202001,T0601,M060101,2019,   7 -   9,ipind,ipind_0102,,,,,,,100.8,(#)
HKMDS,202001,T0601,M060101,2016,,ipind,ipind_0103,,,,,,,99.2,
HKMDS,202001,T0601,M060101,2017,,ipind,ipind_0103,,,,,,,98.6,
HKMDS,202001,T0601,M060101,2018,,ipind,ipind_0103,,,,,,,98.2,
HKMDS,202001,T0601,M060101,2018,   7 -   9,ipind,ipind_0103,,,,,,,91,
HKMDS,202001,T0601,M060101,2018, 10 - 12,ipind,ipind_0103,,,,,,,106.1,
HKMDS,202001,T0601,M060101,2019,   1 -   3,ipind,ipind_0103,,,,,,,94.3,
HKMDS,202001,T0601,M060101,2019,   4 -   6,ipind,ipind_0103,,,,,,,96.9,
HKMDS,202001,T0601,M060101,2019,   7 -   9,ipind,ipind_0103,,,,,,,90.5,(#)
HKMDS,202001,T0601,M060101,2016,,ipind,ipind_0104,,,,,,,98.8,
HKMDS,202001,T0601,M060101,2017,,ipind,ipind_0104,,,,,,,98.2,
HKMDS,202001,T0601,M060101,2018,,ipind,ipind_0104,,,,,,,96.4,
HKMDS,202001,T0601,M060101,2018,   7 -   9,ipind,ipind_0104,,,,,,,103.3,
HKMDS,202001,T0601,M060101,2018, 10 - 12,ipind,ipind_0104,,,,,,,94.4,
HKMDS,202001,T0601,M060101,2019,   1 -   3,ipind,ipind_0104,,,,,,,86.8,
HKMDS,202001,T0601,M060101,2019,   4 -   6,ipind,ipind_0104,,,,,,,99.2,
HKMDS,202001,T0601,M060101,2019,   7 -   9,ipind,ipind_0104,,,,,,,102.6,(#)
HKMDS,202001,T0601,M060101,2016,,ipind,ipind_0105,,,,,,,97.2,
HKMDS,202001,T0601,M060101,2017,,ipind,ipind_0105,,,,,,,96.9,
HKMDS,202001,T0601,M060101,2018,,ipind,ipind_0105,,,,,,,98.2,
HKMDS,202001,T0601,M060101,2018,   7 -   9,ipind,ipind_0105,,,,,,,99.2,
HKMDS,202001,T0601,M060101,2018, 10 - 12,ipind,ipind_0105,,,,,,,99.8,
HKMDS,202001,T0601,M060101,2019,   1 -   3,ipind,ipind_0105,,,,,,,96.8,
HKMDS,202001,T0601,M060101,2019,   4 -   6,ipind,ipind_0105,,,,,,,99.4,
HKMDS,202001,T0601,M060101,2019,   7 -   9,ipind,ipind_0105,,,,,,,100.2,(#)
HKMDS,202001,T0601,M060101,2016,,ipind,ipind_01tt,,,,,,,99.6,
HKMDS,202001,T0601,M060101,2017,,ipind,ipind_01tt,,,,,,,100,
HKMDS,202001,T0601,M060101,2018,,ipind,ipind_01tt,,,,,,,101.3,
HKMDS,202001,T0601,M060101,2018,   7 -   9,ipind,ipind_01tt,,,,,,,106.1,
HKMDS,202001,T0601,M060101,2018, 10 - 12,ipind,ipind_01tt,,,,,,,103.1,
HKMDS,202001,T0601,M060101,2019,   1 -   3,ipind,ipind_01tt,,,,,,,95.5,
HKMDS,202001,T0601,M060101,2019,   4 -   6,ipind,ipind_01tt,,,,,,,102.1,
HKMDS,202001,T0601,M060101,2019,   7 -   9,ipind,ipind_01tt,,,,,,,106.5,(#)
HKMDS,202001,T0601,M060101,2016,,ipind,ipind_02,,,,,,,101.9,
HKMDS,202001,T0601,M060101,2017,,ipind,ipind_02,,,,,,,104.2,
HKMDS,202001,T0601,M060101,2018,,ipind,ipind_02,,,,,,,107.6,
HKMDS,202001,T0601,M060101,2018,   7 -   9,ipind,ipind_02,,,,,,,109.2,
HKMDS,202001,T0601,M060101,2018, 10 - 12,ipind,ipind_02,,,,,,,110.2,
HKMDS,202001,T0601,M060101,2019,   1 -   3,ipind,ipind_02,,,,,,,104.6,
HKMDS,202001,T0601,M060101,2019,   4 -   6,ipind,ipind_02,,,,,,,108.2,
HKMDS,202001,T0601,M060101,2019,   7 -   9,ipind,ipind_02,,,,,,,105.4,(#)
HKMDS,202001,T0602,M060201,2017, 10  - 12,,,,,,,,,-0.1,
HKMDS,202001,T0602,M060201,2018,   1  -   3,,,,,,,,,1.3,
HKMDS,202001,T0602,M060201,2018,   4  -   6,,,,,,,,,0.6,
HKMDS,202001,T0602,M060201,2018,   7  -   9,,,,,,,,,-0.4,
HKMDS,202001,T0602,M060201,2018, 10  - 12,,,,,,,,,0.1,
HKMDS,202001,T0602,M060201,2019,   1  -   3,,,,,,,,,1.1,
HKMDS,202001,T0602,M060201,2019,   4  -   6,,,,,,,,,-0.7,
HKMDS,202001,T0602,M060201,2019,   7  -   9,,,,,,,,,-0.1,(#)
HKMDS,202001,T0603,M060301,2016,,,,,,,,,,1332903,
HKMDS,202001,T0603,M060301,2017,,,,,,,,,,914351,
HKMDS,202001,T0603,M060301,2018,,,,,,,,,,2047282,
HKMDS,202001,T0603,M060301,2018,08,,,,,,,,,198788,
HKMDS,202001,T0603,M060301,2018,09,,,,,,,,,193957,
HKMDS,202001,T0603,M060301,2018,10,,,,,,,,,227929,
HKMDS,202001,T0603,M060301,2018,11,,,,,,,,,238767,
HKMDS,202001,T0603,M060301,2018,12,,,,,,,,,209765,
HKMDS,202001,T0603,M060301,2019,01,,,,,,,,,200472,
HKMDS,202001,T0603,M060301,2019,02,,,,,,,,,165183,
HKMDS,202001,T0603,M060301,2019,03,,,,,,,,,247066,
HKMDS,202001,T0603,M060301,2019,04,,,,,,,,,244664,
HKMDS,202001,T0603,M060301,2019,05,,,,,,,,,182046,
HKMDS,202001,T0603,M060301,2019,06,,,,,,,,,217575,
HKMDS,202001,T0603,M060301,2019,07,,,,,,,,,222784,
HKMDS,202001,T0603,M060301,2019,08,,,,,,,,,234597,
HKMDS,202001,T0603,M060301,2019,09,,,,,,,,,216292,
HKMDS,202001,T0603,M060301,2019,10,,,,,,,,,239809,
HKMDS,202001,T0604,M060401,2016,,cwloc,cwloc_01,site,site_01,,,,,101358,
HKMDS,202001,T0604,M060401,2017,,cwloc,cwloc_01,site,site_01,,,,,106056,
HKMDS,202001,T0604,M060401,2018,,cwloc,cwloc_01,site,site_01,,,,,104863,
HKMDS,202001,T0604,M060401,2018,   7 -   9,cwloc,cwloc_01,site,site_01,,,,,23417,
HKMDS,202001,T0604,M060401,2018, 10 - 12,cwloc,cwloc_01,site,site_01,,,,,24578,
HKMDS,202001,T0604,M060401,2019,   1 -   3,cwloc,cwloc_01,site,site_01,,,,,22618,
HKMDS,202001,T0604,M060401,2019,   4 -   6,cwloc,cwloc_01,site,site_01,,,,,25834,
HKMDS,202001,T0604,M060401,2019,   7 -   9,cwloc,cwloc_01,site,site_01,,,,,22600,(#)
HKMDS,202001,T0604,M060401,2016,,cwloc,cwloc_01,site,site_02,,,,,57675,
HKMDS,202001,T0604,M060401,2017,,cwloc,cwloc_01,site,site_02,,,,,56744,
HKMDS,202001,T0604,M060401,2018,,cwloc,cwloc_01,site,site_02,,,,,46545,
HKMDS,202001,T0604,M060401,2018,   7 -   9,cwloc,cwloc_01,site,site_02,,,,,10811,
HKMDS,202001,T0604,M060401,2018, 10 - 12,cwloc,cwloc_01,site,site_02,,,,,11224,
HKMDS,202001,T0604,M060401,2019,   1 -   3,cwloc,cwloc_01,site,site_02,,,,,9303,
HKMDS,202001,T0604,M060401,2019,   4 -   6,cwloc,cwloc_01,site,site_02,,,,,7790,
HKMDS,202001,T0604,M060401,2019,   7 -   9,cwloc,cwloc_01,site,site_02,,,,,10004,(#)
HKMDS,202001,T0604,M060401,2016,,cwloc,cwloc_01,site,site_tt,,,,,159033,
HKMDS,202001,T0604,M060401,2017,,cwloc,cwloc_01,site,site_tt,,,,,162800,
HKMDS,202001,T0604,M060401,2018,,cwloc,cwloc_01,site,site_tt,,,,,151408,
HKMDS,202001,T0604,M060401,2018,   7 -   9,cwloc,cwloc_01,site,site_tt,,,,,34228,
HKMDS,202001,T0604,M060401,2018, 10 - 12,cwloc,cwloc_01,site,site_tt,,,,,35801,
HKMDS,202001,T0604,M060401,2019,   1 -   3,cwloc,cwloc_01,site,site_tt,,,,,31921,
HKMDS,202001,T0604,M060401,2019,   4 -   6,cwloc,cwloc_01,site,site_tt,,,,,33624,
HKMDS,202001,T0604,M060401,2019,   7 -   9,cwloc,cwloc_01,site,site_tt,,,,,32604,(#)
HKMDS,202001,T0604,M060401,2016,,cwloc,cwloc_02,,,,,,,77458,
HKMDS,202001,T0604,M060401,2017,,cwloc,cwloc_02,,,,,,,87119,
HKMDS,202001,T0604,M060401,2018,,cwloc,cwloc_02,,,,,,,100768,
HKMDS,202001,T0604,M060401,2018,   7 -   9,cwloc,cwloc_02,,,,,,,26027,
HKMDS,202001,T0604,M060401,2018, 10 - 12,cwloc,cwloc_02,,,,,,,29797,
HKMDS,202001,T0604,M060401,2019,   1 -   3,cwloc,cwloc_02,,,,,,,24032,
HKMDS,202001,T0604,M060401,2019,   4 -   6,cwloc,cwloc_02,,,,,,,22592,
HKMDS,202001,T0604,M060401,2019,   7 -   9,cwloc,cwloc_02,,,,,,,25832,(#)
HKMDS,202001,T0604,M060401,2016,,cwloc,cwloc_tt,,,,,,,236491,
HKMDS,202001,T0604,M060401,2017,,cwloc,cwloc_tt,,,,,,,249919,
HKMDS,202001,T0604,M060401,2018,,cwloc,cwloc_tt,,,,,,,252176,
HKMDS,202001,T0604,M060401,2018,   7 -   9,cwloc,cwloc_tt,,,,,,,60255,
HKMDS,202001,T0604,M060401,2018, 10 - 12,cwloc,cwloc_tt,,,,,,,65598,
HKMDS,202001,T0604,M060401,2019,   1 -   3,cwloc,cwloc_tt,,,,,,,55953,
HKMDS,202001,T0604,M060401,2019,   4 -   6,cwloc,cwloc_tt,,,,,,,56216,
HKMDS,202001,T0604,M060401,2019,   7 -   9,cwloc,cwloc_tt,,,,,,,58435,(#)
HKMDS,202001,T0604,M060402,2018,   7 -   9,,,,,,,,,62386,
HKMDS,202001,T0604,M060402,2018, 10 - 12,,,,,,,,,61635,
HKMDS,202001,T0604,M060402,2019,   1 -   3,,,,,,,,,56260,
HKMDS,202001,T0604,M060402,2019,   4 -   6,,,,,,,,,57500,
HKMDS,202001,T0604,M060402,2019,   7 -   9,,,,,,,,,60379,(#)
HKMDS,202001,T0605,M060501,2016,,,,,,,,,,436623,
HKMDS,202001,T0605,M060501,2017,,,,,,,,,,446136,
HKMDS,202001,T0605,M060501,2018,,,,,,,,,,485169,
HKMDS,202001,T0605,M060501,2018,09,,,,,,,,,36575,
HKMDS,202001,T0605,M060501,2018,10,,,,,,,,,39771,
HKMDS,202001,T0605,M060501,2018,11,,,,,,,,,39248,
