product,issue,table,stat,year,period,class1,class1_code,class2,class2_code,class3,class3_code,class4,class4_code,figure,note_figure
HKMDS,201912,T0401,M040101,2016,,gdpcomp,gdpcomp_01,,,,,,,1649941,
HKMDS,201912,T0401,M040101,2017,,gdpcomp,gdpcomp_01,,,,,,,1785499,(@)
HKMDS,201912,T0401,M040101,2018,,gdpcomp,gdpcomp_01,,,,,,,1942606,(@)
HKMDS,201912,T0401,M040101,2018,7 -   9,gdpcomp,gdpcomp_01,,,,,,,473745,(@)
HKMDS,201912,T0401,M040101,2018,10 - 12,gdpcomp,gdpcomp_01,,,,,,,503072,(@)
HKMDS,201912,T0401,M040101,2019,1 -   3,gdpcomp,gdpcomp_01,,,,,,,486905,(@)
HKMDS,201912,T0401,M040101,2019,4 -   6,gdpcomp,gdpcomp_01,,,,,,,509566,(@)
HKMDS,201912,T0401,M040101,2019,7 -   9,gdpcomp,gdpcomp_01,,,,,,,472275,(@)
HKMDS,201912,T0401,M040101,2016,,gdpcomp,gdpcomp_02,,,,,,,247973,
HKMDS,201912,T0401,M040101,2017,,gdpcomp,gdpcomp_02,,,,,,,261474,(@)
HKMDS,201912,T0401,M040101,2018,,gdpcomp,gdpcomp_02,,,,,,,280980,(@)
HKMDS,201912,T0401,M040101,2018,7 -   9,gdpcomp,gdpcomp_02,,,,,,,70291,(@)
HKMDS,201912,T0401,M040101,2018,10 - 12,gdpcomp,gdpcomp_02,,,,,,,71573,(@)
HKMDS,201912,T0401,M040101,2019,1 -   3,gdpcomp,gdpcomp_02,,,,,,,77880,(@)
HKMDS,201912,T0401,M040101,2019,4 -   6,gdpcomp,gdpcomp_02,,,,,,,73487,(@)
HKMDS,201912,T0401,M040101,2019,7 -   9,gdpcomp,gdpcomp_02,,,,,,,77808,(@)
HKMDS,201912,T0401,M040101,2016,,gdpcomp,gdpcomp_03,,,,,,,535216,
HKMDS,201912,T0401,M040101,2017,,gdpcomp,gdpcomp_03,,,,,,,575991,(@)
HKMDS,201912,T0401,M040101,2018,,gdpcomp,gdpcomp_03,,,,,,,611616,(@)
HKMDS,201912,T0401,M040101,2018,7 -   9,gdpcomp,gdpcomp_03,,,,,,,158088,(@)
HKMDS,201912,T0401,M040101,2018,10 - 12,gdpcomp,gdpcomp_03,,,,,,,158452,(@)
HKMDS,201912,T0401,M040101,2019,1 -   3,gdpcomp,gdpcomp_03,,,,,,,137927,(@)
HKMDS,201912,T0401,M040101,2019,4 -   6,gdpcomp,gdpcomp_03,,,,,,,139360,(@)
HKMDS,201912,T0401,M040101,2019,7 -   9,gdpcomp,gdpcomp_03,,,,,,,134833,(@)
HKMDS,201912,T0401,M040101,2016,,gdpcomp,gdpcomp_04,,,,,,,447,
HKMDS,201912,T0401,M040101,2017,,gdpcomp,gdpcomp_04,,,,,,,10973,(@)
HKMDS,201912,T0401,M040101,2018,,gdpcomp,gdpcomp_04,,,,,,,5939,(@)
HKMDS,201912,T0401,M040101,2018,7 -   9,gdpcomp,gdpcomp_04,,,,,,,12669,(@)
HKMDS,201912,T0401,M040101,2018,10 - 12,gdpcomp,gdpcomp_04,,,,,,,-4424,(@)
HKMDS,201912,T0401,M040101,2019,1 -   3,gdpcomp,gdpcomp_04,,,,,,,-7440,(@)
HKMDS,201912,T0401,M040101,2019,4 -   6,gdpcomp,gdpcomp_04,,,,,,,-3414,(@)
