product,issue,table,stat,year,period,class1,class1_code,class2,class2_code,class3,class3_code,class4,class4_code,figure,note_figure
HKMDS,202008,T0301,M030101,2017,,,,,,,,,,4357004,
HKMDS,202008,T0301,M030101,2018,,,,,,,,,,4721399,
HKMDS,202008,T0301,M030101,2019,,,,,,,,,,4415440,
HKMDS,202008,T0301,M030101,2019,04,,,,,,,,,356609,
HKMDS,202008,T0301,M030101,2019,05,,,,,,,,,377774,
HKMDS,202008,T0301,M030101,2019,06,,,,,,,,,364794,
HKMDS,202008,T0301,M030101,2019,07,,,,,,,,,370790,
HKMDS,202008,T0301,M030101,2019,08,,,,,,,,,380777,
HKMDS,202008,T0301,M030101,2019,09,,,,,,,,,379325,
HKMDS,202008,T0301,M030101,2019,10,,,,,,,,,379118,
HKMDS,202008,T0301,M030101,2019,11,,,,,,,,,385438,
HKMDS,202008,T0301,M030101,2019,12,,,,,,,,,383773,
HKMDS,202008,T0301,M030101,2020,01,,,,,,,,,299991,
HKMDS,202008,T0301,M030101,2020,02,,,,,,,,,277108,
HKMDS,202008,T0301,M030101,2020,03,,,,,,,,,358354,
HKMDS,202008,T0301,M030101,2020,04,,,,,,,,,332799,
HKMDS,202008,T0301,M030101,2020,05,,,,,,,,,331341,
HKMDS,202008,T0301,M030101,2020,06,,,,,,,,,338949,
HKMDS,202008,T0301,M030102,2017,,,,,,,,,,3875898,
HKMDS,202008,T0301,M030102,2018,,,,,,,,,,4158106,
HKMDS,202008,T0301,M030102,2019,,,,,,,,,,3988685,
HKMDS,202008,T0301,M030102,2019,04,,,,,,,,,321517,
HKMDS,202008,T0301,M030102,2019,05,,,,,,,,,343065,
HKMDS,202008,T0301,M030102,2019,06,,,,,,,,,309607,
HKMDS,202008,T0301,M030102,2019,07,,,,,,,,,338618,
HKMDS,202008,T0301,M030102,2019,08,,,,,,,,,352727,
HKMDS,202008,T0301,M030102,2019,09,,,,,,,,,347685,
HKMDS,202008,T0301,M030102,2019,10,,,,,,,,,348528,
HKMDS,202008,T0301,M030102,2019,11,,,,,,,,,359270,
HKMDS,202008,T0301,M030102,2019,12,,,,,,,,,351276,
HKMDS,202008,T0301,M030102,2020,01,,,,,,,,,269396,
HKMDS,202008,T0301,M030102,2020,02,,,,,,,,,238558,
HKMDS,202008,T0301,M030102,2020,03,,,,,,,,,323647,
HKMDS,202008,T0301,M030102,2020,04,,,,,,,,,309462,
HKMDS,202008,T0301,M030102,2020,05,,,,,,,,,317610,
HKMDS,202008,T0301,M030102,2020,06,,,,,,,,,305608,
HKMDS,202008,T0301,M030103,2017,,,,,,,,,,8232902,
HKMDS,202008,T0301,M030103,2018,,,,,,,,,,8879505,
HKMDS,202008,T0301,M030103,2019,,,,,,,,,,8404126,
HKMDS,202008,T0301,M030103,2019,04,,,,,,,,,678126,
HKMDS,202008,T0301,M030103,2019,05,,,,,,,,,720839,
HKMDS,202008,T0301,M030103,2019,06,,,,,,,,,674401,
HKMDS,202008,T0301,M030103,2019,07,,,,,,,,,709408,
HKMDS,202008,T0301,M030103,2019,08,,,,,,,,,733504,
HKMDS,202008,T0301,M030103,2019,09,,,,,,,,,727010,
HKMDS,202008,T0301,M030103,2019,10,,,,,,,,,727645,
HKMDS,202008,T0301,M030103,2019,11,,,,,,,,,744708,
HKMDS,202008,T0301,M030103,2019,12,,,,,,,,,735048,
HKMDS,202008,T0301,M030103,2020,01,,,,,,,,,569386,
HKMDS,202008,T0301,M030103,2020,02,,,,,,,,,515666,
HKMDS,202008,T0301,M030103,2020,03,,,,,,,,,682001,
HKMDS,202008,T0301,M030103,2020,04,,,,,,,,,642262,
HKMDS,202008,T0301,M030103,2020,05,,,,,,,,,648951,
HKMDS,202008,T0301,M030103,2020,06,,,,,,,,,644557,
HKMDS,202008,T0301,M030104,2017,,,,,,,,,,-481106,
HKMDS,202008,T0301,M030104,2018,,,,,,,,,,-563292,
HKMDS,202008,T0301,M030104,2019,,,,,,,,,,-426755,
HKMDS,202008,T0301,M030104,2019,04,,,,,,,,,-35091,
HKMDS,202008,T0301,M030104,2019,05,,,,,,,,,-34709,
HKMDS,202008,T0301,M030104,2019,06,,,,,,,,,-55187,
HKMDS,202008,T0301,M030104,2019,07,,,,,,,,,-32172,
HKMDS,202008,T0301,M030104,2019,08,,,,,,,,,-28049,
HKMDS,202008,T0301,M030104,2019,09,,,,,,,,,-31639,
HKMDS,202008,T0301,M030104,2019,10,,,,,,,,,-30590,
HKMDS,202008,T0301,M030104,2019,11,,,,,,,,,-26168,
