product,issue,table,category,code,desc_c,desc_e
HKMDS,202007,,product,HKMDS,香港統計月刊,Hong Kong Monthly Digest of Statistics
HKMDS,202007,,issue,202007,期號：2020年7月,Issue : July 2020
HKMDS,202007,T0701,table,T0701,表7.1：油產品淨進口貨量,Table 7.1 : Quantity of net imports of oil products
HKMDS,202007,T0701,stat,M070101,淨進口貨量,Quantity of net imports
HKMDS,202007,T0701,class1,typeop,油產品,Oil products
HKMDS,202007,T0701,class1_code,typeop_01,航空汽油及煤油 [千公升],Aviation gasoline and kerosene [Kilolitres]
HKMDS,202007,T0701,class1_code,typeop_02,無鉛車用汽油 [千公升],Unleaded motor gasoline [Kilolitres]
HKMDS,202007,T0701,class1_code,typeop_03,輕質柴油、重質柴油及石腦油 [千公升] (註釋 1),"Gas oil, diesel oil and naphtha [Kilolitres] (note 1)"
HKMDS,202007,T0701,class1_code,typeop_04,燃油 [千公升],Fuel oil [Kilolitres]
HKMDS,202007,T0701,class1_code,typeop_05,石油氣及天然氣 [公噸],Liquefied petroleum gas and natural gas [tonnes]
HKMDS,202007,T0701,other_info,note_1,(註釋 1) 包括生物柴油。,(note 1) Including biodiesel.
HKMDS,202007,T0701,other_info,source,政府統計處工業生產統計組,"Industrial Production Statistics Section, Census and Statistics Department"
HKMDS,202007,T0702,table,T0702,表7.2：主要煤產品淨進口貨量,Table 7.2 : Quantity of net imports of major coal products
HKMDS,202007,T0702,stat,M070201,淨進口貨量,Quantity of net imports
HKMDS,202007,T0702,class1,typeco,主要煤產品,major coal products
HKMDS,202007,T0702,class1_code,typeco_01,蒸餾煤及其他煤產品 [公噸],Steam coal and other coal [Tonnes]
HKMDS,202007,T0702,class1_code,typeco_02,木炭 [公噸],Wood charcoal [Tonnes]
HKMDS,202007,T0702,other_info,source,政府統計處工業生產統計組,"Industrial Production Statistics Section, Census and Statistics Department"
HKMDS,202007,T0703,table,T0703,表7.3：用電量,Table 7.3 : Electricity consumption
HKMDS,202007,T0703,stat,M070301,用電量 [太焦耳],Electricity consumption [Terajoules]
HKMDS,202007,T0703,class1,typeec,用電量分布,Distribution of electricity consumption 
HKMDS,202007,T0703,class1_code,typeec_01,住宅,Domestic
HKMDS,202007,T0703,class1_code,typeec_02,商業,Commercial
HKMDS,202007,T0703,class1_code,typeec_03,工業,Industrial
HKMDS,202007,T0703,class1_code,typeec_04,街燈,Street lighting
HKMDS,202007,T0703,class1_code,typeec_05,出口往中國內地,Exports to the mainland of China
HKMDS,202007,T0703,class1_code,typeec_tt,總計,Total
HKMDS,202007,T0703,other_info,note_G1,1太焦耳 = 1 000 000 000 000焦耳,1 terajoule = 1 000 000 000 000 joules
HKMDS,202007,T0703,other_info,source,中華電力有限公司；香港電燈有限公司,"CLP Power Hong Kong Limited; The Hongkong Electric Company, Limited"
HKMDS,202007,T0704,table,T0704,表7.4：煤氣用量,Table 7.4 : Gas consumption
HKMDS,202007,T0704,stat,M070401,煤氣用量 [太焦耳],Gas consumption [Terajoules]
HKMDS,202007,T0704,class1,typegc,煤氣用量分布,Distribution of gas consumption
HKMDS,202007,T0704,class1_code,typegc_01,住宅,Domestic
HKMDS,202007,T0704,class1_code,typegc_02,商業,Commercial
HKMDS,202007,T0704,class1_code,typegc_03,工業,Industrial
HKMDS,202007,T0704,class1_code,typegc_tt,總計,Total
HKMDS,202007,T0704,other_info,note_G1,1太焦耳 = 1 000 000 000 000焦耳,1 terajoule = 1 000 000 000 000 joules
HKMDS,202007,T0704,other_info,source,香港中華煤氣有限公司,The Hong Kong and China Gas Company Limited
